Month - Year ,Price for 1 Gram - Nominal ,Price for 1 Gram - 1971 Dollars ,Price for 1 Gram - 2011 Dollars ,Consumer Price Index ,US Dollar in 1971 ,US Dollar in 2011
Jan 1971 ,1.21 ,1.21 ,6.7 ,39.8 ,1.0 ,5.53
Feb 1971 ,1.25 ,1.25 ,6.92 ,39.8 ,1.0 ,5.53
Mar 1971 ,1.25 ,1.25 ,6.92 ,39.8 ,1.0 ,5.53
Apr 1971 ,1.26 ,1.26 ,6.97 ,39.8 ,1.0 ,5.53
May 1971 ,1.3 ,1.3 ,7.19 ,39.8 ,1.0 ,5.53
Jun 1971 ,1.32 ,1.32 ,7.3 ,39.8 ,1.0 ,5.53
Jul 1971 ,1.3 ,1.3 ,7.19 ,39.8 ,1.0 ,5.53
Aug 1971 ,1.37 ,1.37 ,7.58 ,39.8 ,1.0 ,5.53
Sep 1971 ,1.31 ,1.31 ,7.25 ,39.8 ,1.0 ,5.53
Oct 1971 ,1.39 ,1.39 ,7.69 ,39.8 ,1.0 ,5.53
Nov 1971 ,1.36 ,1.36 ,7.53 ,39.8 ,1.0 ,5.53
Dec 1971 ,1.41 ,1.41 ,7.8 ,39.8 ,1.0 ,5.53
Jan 1972 ,1.47 ,1.42 ,7.88 ,41.1 ,1.03 ,5.36
Feb 1972 ,1.58 ,1.53 ,8.47 ,41.1 ,1.03 ,5.36
Mar 1972 ,1.57 ,1.52 ,8.41 ,41.1 ,1.03 ,5.36
Apr 1972 ,1.56 ,1.51 ,8.36 ,41.1 ,1.03 ,5.36
May 1972 ,1.67 ,1.62 ,8.95 ,41.1 ,1.03 ,5.36
Jun 1972 ,2.09 ,2.02 ,11.2 ,41.1 ,1.03 ,5.36
Jul 1972 ,2.12 ,2.05 ,11.36 ,41.1 ,1.03 ,5.36
Aug 1972 ,2.25 ,2.18 ,12.06 ,41.1 ,1.03 ,5.36
Sep 1972 ,2.17 ,2.1 ,11.63 ,41.1 ,1.03 ,5.36
Oct 1972 ,1.97 ,1.91 ,10.56 ,41.1 ,1.03 ,5.36
Nov 1972 ,2.05 ,1.99 ,10.98 ,41.1 ,1.03 ,5.36
Dec 1972 ,1.94 ,1.88 ,10.39 ,41.1 ,1.03 ,5.36
Jan 1973 ,2.1 ,1.96 ,10.86 ,42.6 ,1.07 ,5.17
Feb 1973 ,2.22 ,2.07 ,11.48 ,42.6 ,1.07 ,5.17
Mar 1973 ,2.78 ,2.6 ,14.37 ,42.6 ,1.07 ,5.17
Apr 1973 ,2.92 ,2.73 ,15.1 ,42.6 ,1.07 ,5.17
May 1973 ,2.94 ,2.75 ,15.2 ,42.6 ,1.07 ,5.17
Jun 1973 ,4.05 ,3.78 ,20.94 ,42.6 ,1.07 ,5.17
Jul 1973 ,4.08 ,3.81 ,21.09 ,42.6 ,1.07 ,5.17
