                                                                                                              
Stock Marke                                                                                                    Cyclically
Robert J. S                                                                                                      Adjusted
                                                                                                                    Price
                                               Consumer                                                          Earnings
                   S&P                            Price                  Long                                       Ratio
                 Comp.   Dividend   Earnings      Index     Date     Interest       Real       Real       Real   P/E10 or
       Date          P          D          E        CPI   Fraction  Rate GS10      Price   Dividend   Earnings       CAPE
    1871.01       4.44       0.26       0.40      12.46    1871.04       5.32      82.95       4.86       7.47         NA
    1871.02       4.50       0.26       0.40      12.84    1871.13       5.32      81.58       4.71       7.25         NA
    1871.03       4.61       0.26       0.40      13.03    1871.21       5.33      82.35       4.64       7.15         NA
    1871.04       4.74       0.26       0.40      12.56    1871.29       5.33      87.88       4.82       7.42         NA
    1871.05       4.86       0.26       0.40      12.27    1871.38       5.33      92.20       4.93       7.59         NA
    1871.06       4.82       0.26       0.40      12.08    1871.46       5.34      92.88       5.01       7.71         NA
    1871.07       4.73       0.26       0.40      12.08    1871.54       5.34      91.15       5.01       7.71         NA
    1871.08       4.79       0.26       0.40      11.89    1871.63       5.34      93.78       5.09       7.83         NA
    1871.09       4.84       0.26       0.40      12.18    1871.71       5.35      92.54       4.97       7.65         NA
     1871.1       4.59       0.26       0.40      12.37    1871.79       5.35      86.41       4.89       7.53         NA
    1871.11       4.64       0.26       0.40      12.37    1871.88       5.35      87.35       4.89       7.53         NA
    1871.12       4.74       0.26       0.40      12.65    1871.96       5.36      87.22       4.78       7.36         NA
    1872.01       4.86       0.26       0.40      12.65    1872.04       5.36      89.43       4.84       7.41         NA
    1872.02       4.88       0.27       0.41      12.65    1872.13       5.38      89.80       4.91       7.45         NA
    1872.03       5.04       0.27       0.41      12.84    1872.21       5.40      91.37       4.89       7.39         NA
    1872.04       5.18       0.27       0.41      13.13    1872.29       5.42      91.86       4.85       7.27         NA
    1872.05       5.18       0.28       0.41      13.13    1872.38       5.43      91.86       4.91       7.32         NA
    1872.06       5.13       0.28       0.42      13.03    1872.46       5.45      91.64       5.00       7.41         NA
    1872.07       5.10       0.28       0.42      12.84    1872.54       5.47      92.45       5.14       7.57         NA
    1872.08       5.04       0.29       0.42      12.94    1872.63       5.49      90.69       5.16       7.56         NA
    1872.09       4.95       0.29       0.42      13.03    1872.71       5.51      88.42       5.18       7.55         NA
     1872.1       4.97       0.29       0.43      12.75    1872.79       5.53      90.77       5.36       7.76         NA
    1872.11       4.95       0.30       0.43      13.13    1872.88       5.54      87.78       5.26       7.58         NA
    1872.12       5.07       0.30       0.43      12.94    1872.96       5.56      91.23       5.40       7.74         NA
    1873.01       5.11       0.30       0.43      12.94    1873.04       5.58      91.95       5.44       7.78         NA
    1873.02       5.15       0.31       0.44      13.23    1873.13       5.57      90.67       5.37       7.66         NA
    1873.03       5.11       0.31       0.44      13.23    1873.21       5.56      89.97       5.41       7.70         NA
    1873.04       5.04       0.31       0.44      13.23    1873.29       5.55      88.74       5.46       7.75         NA
    1873.05       5.05       0.31       0.44      12.94    1873.38       5.54      90.87       5.62       7.96         NA
    1873.06       4.98       0.32       0.45      12.56    1873.46       5.53      92.33       5.84       8.25         NA
    1873.07       4.97       0.32       0.45      12.56    1873.54       5.53      92.14       5.89       8.30         NA
    1873.08       4.97       0.32       0.45      12.56    1873.63       5.52      92.14       5.93       8.34         NA
    1873.09       4.59       0.32       0.45      12.56    1873.71       5.51      85.10       5.98       8.39         NA
     1873.1       4.19       0.33       0.46      12.27    1873.79       5.50      79.49       6.17       8.63         NA
    1873.11       4.04       0.33       0.46      11.89    1873.88       5.49      79.10       6.41       8.96         NA
    1873.12       4.42       0.33       0.46      12.18    1873.96       5.48      84.51       6.31       8.79         NA
    1874.01       4.66       0.33       0.46      12.37    1874.04       5.47      87.73       6.21       8.66         NA
    1874.02       4.80       0.33       0.46      12.37    1874.13       5.44      90.36       6.21       8.66         NA
    1874.03       4.73       0.33       0.46      12.37    1874.21       5.40      89.04       6.21       8.66         NA
    1874.04       4.60       0.33       0.46      12.18    1874.29       5.37      87.95       6.31       8.79         NA
    1874.05       4.48       0.33       0.46      12.08    1874.38       5.34      86.33       6.36       8.86         NA
    1874.06       4.46       0.33       0.46      11.80    1874.46       5.30      88.02       6.51       9.08         NA
    1874.07       4.46       0.33       0.46      11.89    1874.54       5.27      87.32       6.46       9.01         NA
    1874.08       4.47       0.33       0.46      11.80    1874.63       5.24      88.22       6.51       9.08         NA
    1874.09       4.54       0.33       0.46      11.80    1874.71       5.20      89.60       6.51       9.08         NA
     1874.1       4.53       0.33       0.46      11.61    1874.79       5.17      90.87       6.62       9.23         NA
    1874.11       4.57       0.33       0.46      11.51    1874.88       5.14      92.43       6.67       9.30         NA
    1874.12       4.54       0.33       0.46      11.51    1874.96       5.10      91.82       6.67       9.30         NA
    1875.01       4.54       0.33       0.45      11.51    1875.04       5.07      91.82       6.62       9.14         NA
    1875.02       4.53       0.33       0.44      11.51    1875.13       5.03      91.62       6.57       8.97         NA
